EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;21578;88618.1;0.0;30534.67;0.0;0.0;0.0;0.0;0.0;119152.77;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;271;46024.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46024.32;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;44351;0.0;0.0;0.0;0.0;76791.69;76791.69;0.0;0.0;0.0;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;6042;0.0;0.0;49779.06;0.0;0.0;0.0;0.0;0.0;49779.06;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;6358;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;64112;0.0;0.0;19571.19;0.0;0.0;0.0;0.0;0.0;19571.19;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;6417;0.0;0.0;6975.55;0.0;0.0;0.0;0.0;0.0;6975.55;0.0
2020;21950430500018;095;MONTSOULT;430;1;101;00;M14;219504305;011;40;;;;Commune;DEF;7318;0.0;0.0;0.0;5645.0;0.0;0.0;0.0;0.0;0.0;5645.0
2020;21950430500067;095;ASST - MONTSOULT;933;3;410;00;M49A;219504305;011;01;;;;Commune;DEF;4511;0.0;0.0;0.0;0.0;630748.16;70345.29;0.0;0.0;560402.87;0.0
2020;21950430500067;095;ASST - MONTSOULT;933;3;410;00;M49A;219504305;011;01;;;;Commune;DEF;580;0.0;0.0;0.0;0.0;35521.45;35521.45;0.0;0.0;0.0;0.0
2020;21950436200050;095;MOURS;436;1;101;00;M14;219504362;011;40;;;;Commune;DEF;10223;0.0;97201.13;0.0;364.0;0.0;0.0;0.0;0.0;0.0;97565.13
2020;21950436200050;095;MOURS;436;1;101;00;M14;219504362;011;40;;;;Commune;DEF;44312;0.0;0.0;0.0;0.0;77292.55;77292.55;0.0;0.0;0.0;0.0
2020;21950436200050;095;MOURS;436;1;101;00;M14;219504362;011;40;;;;Commune;DEF;615221;0.0;0.0;19351.84;0.0;0.0;0.0;0.0;0.0;19351.84;0.0
2020;21950436200050;095;MOURS;436;1;101;00;M14;219504362;011;40;;;;Commune;DEF;6225;0.0;0.0;510.4;0.0;0.0;0.0;0.0;0.0;510.4;0.0
2020;21950436200050;095;MOURS;436;1;101;00;M14;219504362;011;40;;;;Commune;DEF;6247;0.0;0.0;374.32;0.0;0.0;0.0;0.0;0.0;374.32;0.0
2020;21950436200050;095;MOURS;436;1;101;00;M14;219504362;011;40;;;;Commune;DEF;739223;0.0;0.0;16116.0;0.0;0.0;0.0;0.0;0.0;16116.0;0.0
2020;21950438800014;095;MOUSSY;438;1;101;00;M14A;219504388;011;40;;;;Commune;DEF;2188;12051.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12051.95;0.0
2020;21950438800014;095;MOUSSY;438;1;101;00;M14A;219504388;011;40;;;;Commune;DEF;752;0.0;0.0;0.0;23559.19;0.0;0.0;0.0;0.0;0.0;23559.19
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;2312;478.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;478.4;0.0
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;271;73.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.18;0.0
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;437;0.0;683.0;0.0;0.0;27689.81;27006.81;0.0;0.0;0.0;0.0
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;451;0.0;217926.89;0.0;0.0;22027.28;17016.92;0.0;0.0;0.0;212916.53
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;60632;0.0;0.0;3859.96;0.0;0.0;0.0;0.0;0.0;3859.96;0.0
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;6336;0.0;0.0;1405.83;0.0;0.0;0.0;0.0;0.0;1405.83;0.0
2020;21950445300016;095;NERVILLE-LA-FORET;445;1;101;00;M14;219504453;011;40;;;;Commune;DEF;74833;0.0;0.0;0.0;1135.0;0.0;0.0;0.0;0.0;0.0;1135.0
2020;21950445300958;095;ASST - NERVILLE-LA-FORET;883;3;410;00;M49A;219504453;011;01;;;;Commune;DEF;211;272722.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;272722.4;0.0
2020;21950445300958;095;ASST - NERVILLE-LA-FORET;883;3;410;00;M49A;219504453;011;01;;;;Commune;DEF;4041;0.0;0.0;0.0;0.0;5820.0;5820.0;0.0;0.0;0.0;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;2088;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50000.0;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;2132;284160.0;0.0;7555.84;0.0;0.0;0.0;0.0;0.0;291715.84;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;21538;0.0;0.0;5236.09;0.0;0.0;0.0;0.0;0.0;5236.09;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;2158;18985.33;0.0;1557.6;0.0;0.0;0.0;0.0;0.0;20542.93;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;4621;0.0;0.0;0.0;0.0;6000.0;0.0;0.0;0.0;6000.0;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;615231;0.0;0.0;143578.75;0.0;0.0;0.0;0.0;0.0;143578.75;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;6182;0.0;0.0;277.1;0.0;0.0;0.0;0.0;0.0;277.1;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;6474;0.0;0.0;2332.0;0.0;0.0;0.0;0.0;0.0;2332.0;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;651;0.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0
2020;21950446100019;095;NESLES-LA-VALLEE;446;1;101;00;M14;219504461;011;40;;;;Commune;DEF;6558;0.0;0.0;1437.01;0.0;0.0;0.0;0.0;0.0;1437.01;0.0
2020;21950446100050;095;ASST-NESLES-LA-VALLEE;939;3;410;00;M49;219504461;011;01;;;;Commune;DEF;1313;0.0;1968.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1968.49
2020;21950446100050;095;ASST-NESLES-LA-VALLEE;939;3;410;00;M49;219504461;011;01;;;;Commune;DEF;2315;20546.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20546.64;0.0
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;2152;63736.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63736.42;0.0
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;47211;177.31;0.0;0.0;0.0;3712.24;3889.55;0.0;0.0;0.0;0.0
