calc1,calc2,calc3,calc4,calc5,calc6,calc7,calc8,calc9,calc10,calc11,calc12,calc13,calc14,calc24,calc15,calc16,calc17,calc18,calc19,calc20,calc21,calc22,calc23,calc25,calc26,name
0,0,0,477878.78,0,0,0,0,0,0,0,0,0,0,1084748.26,0,0,0,0,0,1084748.26,0,0,477878.78,1562627.04,0,saint-leu-la-foret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7432973.38,532.92,0,0,0,7432440.46,0,0,0,0,7432973.38,0,saint-martin-du-tertre
0,0,4348.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4348.72,4348.72,0,asst-saint-martin-du-tertre
0,0,0,0,0,0,0,0,0,240299.36,0,0,0,0,0,0,0,0,0,0,0,0,0,240299.36,240299.36,0,saint-ouen-aumone(l')
0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,0,golf-saint-ouen-aumone(l' )
0,0,158051.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158051.14,158051.14,0,saint-prix
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33223.9,4657.7,-37881.6,0,0,0,0,0,0,0,-33223.9,0,saint-witz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,37218812.260000005,57906.74,0,0,0,37134401.52,26504,0,0,0,37218812.260000005,0,sannois
1405154.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405154.54,1405154.54,0,lamentin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,espace aqualudique rene toribio
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80868.68,0,0,0,0,0,80868.68,0,0,0,80868.68,0,morne a l eau
15445068,0,0,0,0,0,0,0,0,0,0,0,0,0,33654497.3,746788,0,0,0,0,32907709.3,0,0,15445068,49099565.3,0,moule (le)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regie sports et loisirs
0,0,386721.38,0,0,0,0,0,0,0,0,0,0,0,3181588,2044684,0,0,0,0,1136904,0,0,386721.38,3568309.38,0,petit bourg
0,0,21.4,115540.52,0,0,0,0,0,0,0,0,0,0,83242018.11999999,0,0,0,0,81201809.88,2040208.24,0,0,115561.92,83357580.03999999,0,petit canal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pointe a pitre
0,0,11189.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11189.76,11189.76,0,pointe noire
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,port louis
6778270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6778270,6778270,0,saint claude
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56517630.46,0,0,0,0,53732868.84,2784761.62,0,0,0,56517630.46,0,saint francois
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regie du golf de saint francois
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regie du port de plaisance st francois
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17160,17160,0,0,0,0,0,0,0,0,17160,0,saint louis
2213712.72,0,0,0,0,0,0,0,0,0,0,0,0,0,841771.74,841771.74,0,0,0,0,0,0,0,2213712.72,3055484.46,0,sainte anne
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sainte rose
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eau sainte rose
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lot communaux sainte rose
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,terre de bas
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,terre de haut
0,0,720278.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720278.02,720278.02,0,gestion du bateau beatrix
111972.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111972.42,111972.42,0,trois rivieres
0,0,516149.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516149.88,516149.88,0,eau trois rivieres
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst trois rivieres
0,0,0,18000,0,0,0,138316.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156316.38,156316.38,0,vieux fort
0,0,0,0,0,0,0,0,0,0,0,0,0,0,399978.1,0,0,0,0,0,399978.1,0,0,0,399978.1,0,vieux habitants
380,0,0,0,0,0,0,0,0,0,0,0,0,0,7210.12,7210.12,0,0,0,0,0,0,0,380,7590.12,0,regina
